"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2018-07-01 00:00","20.08","0.0","0.0","14.77","1.7","2.13","1.9"
"2018-07-01 00:15","23.77","0.0","0.0","18.21","1.71","2.14","2.05"
"2018-07-01 00:30","18.17","0.0","0.0","13.15","1.77","1.23","2.12"
"2018-07-01 00:45","27.59","0.0","0.0","22.45","1.81","0.745","2.09"
"2018-07-01 01:00","18.0","0.0","0.0","12.7","1.73","2.14","2.05"
"2018-07-01 01:15","21.63","0.0","0.0","16.22","1.71","2.14","2.19"
"2018-07-01 01:30","22.68","0.0","0.0","17.22","1.74","2.12","1.94"
"2018-07-01 01:45","25.93","0.0","0.0","20.84","1.76","0.949","2.09"
"2018-07-01 02:00","28.4","0.0","0.0","22.92","1.72","1.2","2.0"
"2018-07-01 02:15","20.96","0.0","0.0","15.66","1.7","2.13","2.11"
"2018-07-01 02:30","27.23","0.0","0.0","20.09","3.0","1.85","2.13"
"2018-07-01 02:45","18.19","0.0","0.0","12.98","1.74","1.83","2.06"
"2018-07-01 03:00","22.66","0.0","0.0","17.75","1.81","0.926","2.03"
"2018-07-01 03:15","24.19","0.0","0.0","18.73","1.97","1.5","2.06"
"2018-07-01 03:30","25.52","0.0","0.0","19.65","1.86","2.15","1.83"
"2018-07-01 03:45","25.0","0.0","0.0","19.02","2.15","2.11","2.05"
"2018-07-01 04:00","25.86","0.0","0.0","20.49","1.96","0.638","2.1"
"2018-07-01 04:15","19.26","0.0","0.0","13.86","2.34","1.19","1.95"
"2018-07-01 04:30","23.83","0.0","0.0","18.2","1.69","2.1","2.06"
"2018-07-01 04:45","18.64","0.0","0.0","13.17","1.93","2.12","2.12"
"2018-07-01 05:00","24.61","0.0","0.0","19.37","1.93","0.962","2.07"
"2018-07-01 05:15","17.4","0.0","0.0","12.18","2.28","1.21","2.12"
"2018-07-01 05:30","21.39","0.0","0.0","15.42","2.21","1.81","2.06"
"2018-07-01 05:45","22.42","0.0","0.0","17.12","1.72","1.83","2.03"
