"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2019-03-01 00:00","29.2","0.0","0.0","22.3","2.13","0.393","2.57"
"2019-03-01 00:15","36.23","0.0","0.0","28.57","2.55","2.58","2.51"
"2019-03-01 00:30","30.69","0.0","0.0","23.58","2.05","0.791","2.43"
"2019-03-01 00:45","30.93","0.0","0.0","23.43","2.14","3.72","2.56"
"2019-03-01 01:00","33.26","0.0","0.0","26.07","2.21","2.55","2.53"
"2019-03-01 01:15","33.48","0.0","0.0","26.55","2.19","2.74","2.37"
"2019-03-01 01:30","40.11","0.0","0.0","32.73","2.28","2.72","2.5"
"2019-03-01 01:45","40.2","0.0","0.0","32.39","2.21","0.799","2.43"
"2019-03-01 02:00","32.15","0.0","0.0","24.84","2.14","3.53","2.43"
"2019-03-01 02:15","37.2","0.0","0.0","29.74","2.19","2.74","2.46"
"2019-03-01 02:30","30.78","0.0","0.0","23.8","2.3","2.36","1.6"
"2019-03-01 02:45","34.45","0.0","0.0","27.2","2.21","1.18","2.04"
"2019-03-01 03:00","33.44","0.0","0.0","25.86","2.13","3.84","2.62"
"2019-03-01 03:15","29.33","0.0","0.0","22.2","2.08","3.12","2.46"
"2019-03-01 03:30","35.52","0.0","0.0","28.31","2.36","0.781","1.61"
"2019-03-01 03:45","30.08","0.0","0.0","23.38","2.09","2.32","2.56"
"2019-03-01 04:00","27.09","0.0","0.0","19.65","2.45","0.38","2.55"
"2019-03-01 04:15","22.83","0.0","0.0","15.72","2.15","3.43","1.58"
"2019-03-01 04:30","22.06","0.0","0.0","15.06","2.18","3.41","1.7"
"2019-03-01 04:45","28.78","0.0","0.0","22.19","2.15","2.28","2.45"
"2019-03-01 05:00","12.09","0.0","0.0","5.98","2.21","0.372","2.66"
"2019-03-01 05:15","17.66","0.0","0.0","11.55","2.1","1.49","2.56"
"2019-03-01 05:30","17.39","0.0","0.0","11.06","2.22","1.49","1.68"
"2019-03-01 05:45","14.8","0.0","0.0","8.29","2.17","0.374","2.61"
"2019-03-01 06:00","25.45","0.0","0.0","18.34","2.38","2.62","2.58"
"2019-03-01 06:15","21.34","0.0","0.0","14.62","2.1","3.39","2.57"
"2019-03-01 06:30","21.94","0.0","0.0","15.08","2.27","2.66","2.6"
"2019-03-01 06:45","36.31","0.0","5.84","10.74","2.6","0.741","2.53"
"2019-03-01 07:00","69.6","0.0","9.24","14.33","2.64","0.368","1.77"
"2019-03-01 07:15","66.95","0.0","9.23","13.13","5.68","2.24","2.57"
"2019-03-01 07:30","68.93","0.0","9.28","19.58","3.26","2.28","2.36"
"2019-03-01 07:45","69.51","0.0","9.74","19.57","6.3","3.42","2.46"
"2019-03-01 08:00","71.29","0.0","11.38","19.5","6.49","3.48","2.39"
"2019-03-01 08:15","79.11","0.0","11.28","17.36","5.62","2.75","2.47"
"2019-03-01 08:30","71.46","0.0","11.21","10.39","5.83","0.789","2.54"
"2019-03-01 08:45","78.52","0.0","11.21","17.57","6.72","2.37","1.79"
"2019-03-01 09:00","67.34","0.0","10.99","12.91","5.76","1.21","1.54"
"2019-03-01 09:15","68.98","0.0","10.97","13.53","4.97","0.403","2.55"
"2019-03-01 09:30","70.53","0.0","11.17","14.82","5.26","3.2","2.54"
"2019-03-01 09:45","69.6","0.0","11.2","11.05","3.99","3.58","2.46"
"2019-03-01 10:00","75.18","0.0","10.81","21.1","4.25","2.81","2.54"
"2019-03-01 10:15","75.01","0.0","10.97","18.71","5.23","0.812","2.52"
"2019-03-01 10:30","65.92","0.0","11.29","8.04","6.32","2.41","2.45"
"2019-03-01 10:45","72.3","0.0","11.71","15.27","5.53","0.4","2.53"
"2019-03-01 11:00","70.5","0.0","11.54","13.67","5.44","3.62","2.63"
"2019-03-01 11:15","68.38","0.0","11.71","9.07","5.22","3.42","2.43"
"2019-03-01 11:30","76.53","0.0","12.06","7.07","5.38","2.58","8.34"
"2019-03-01 11:45","95.48","0.0","12.65","6.07","3.89","2.03","24.91"
"2019-03-01 12:00","119.72","0.0","12.23","23.48","6.05","0.803","24.75"
"2019-03-01 12:15","144.08","22.69","11.99","18.95","5.76","4.12","24.68"
"2019-03-01 12:30","128.85","0.0","12.06","20.89","5.23","2.87","24.61"
"2019-03-01 12:45","154.5","0.0","12.17","20.41","4.91","0.418","24.57"
"2019-03-01 13:00","110.59","0.0","12.02","12.33","5.38","4.6","24.41"
"2019-03-01 13:15","124.31","5.72","11.99","18.12","7.78","2.94","24.48"
"2019-03-01 13:30","187.82","20.11","12.46","20.32","5.01","2.12","32.51"
"2019-03-01 13:45","149.09","0.0","11.98","14.09","4.19","1.67","36.21"
"2019-03-01 14:00","265.49","16.77","12.09","15.56","4.17","0.425","35.85"
"2019-03-01 14:15","194.08","22.58","12.13","21.98","5.22","5.13","35.65"
"2019-03-01 14:30","251.31","73.48","12.28","21.75","4.99","3.44","35.47"
"2019-03-01 14:45","206.11","30.17","12.35","20.65","5.48","4.84","24.34"
"2019-03-01 15:00","195.81","26.83","12.21","19.86","5.83","3.52","28.04"
"2019-03-01 15:15","203.43","26.31","12.16","19.17","6.07","5.32","31.77"
"2019-03-01 15:30","164.69","21.56","12.2","20.55","5.76","4.02","34.72"
