"Time stamp","Interruptor Principal   ()"
"2018-06-01 00:00","0.8854"
"2018-06-01 00:15","0.8963"
"2018-06-01 00:30","0.8969"
"2018-06-01 00:45","0.8974"
"2018-06-01 01:00","0.8872"
"2018-06-01 01:15","0.8935"
"2018-06-01 01:30","0.8956"
"2018-06-01 01:45","0.9054"
"2018-06-01 02:00","0.9226"
"2018-06-01 02:15","0.9183"
"2018-06-01 02:30","0.8938"
"2018-06-01 02:45","0.8935"
"2018-06-01 03:00","0.8929"
"2018-06-01 03:15","0.8893"
"2018-06-01 03:30","0.8822"
"2018-06-01 03:45","0.8954"
"2018-06-01 04:00","0.8868"
"2018-06-01 04:15","0.8954"
"2018-06-01 04:30","0.8871"
"2018-06-01 04:45","0.8837"
"2018-06-01 05:00","0.8927"
"2018-06-01 05:15","0.8883"
"2018-06-01 05:30","0.8952"
"2018-06-01 05:45","0.8858"
"2018-06-01 06:00","0.8941"
"2018-06-01 06:15","0.9057"
"2018-06-01 06:30","0.9058"
"2018-06-01 06:45","0.8993"
"2018-06-01 07:00","0.8965"
"2018-06-01 07:15","0.9021"
"2018-06-01 07:30","0.896"
"2018-06-01 07:45","0.9107"
"2018-06-01 08:00","0.9261"
"2018-06-01 08:15","0.9247"
"2018-06-01 08:30","0.9097"
"2018-06-01 08:45","0.9184"
"2018-06-01 09:00","0.9271"
"2018-06-01 09:15","0.9152"
"2018-06-01 09:30","0.9558"
"2018-06-01 09:45","0.9315"
"2018-06-01 10:00","0.8933"
"2018-06-01 10:15","0.9077"
"2018-06-01 10:30","0.9449"
"2018-06-01 10:45","0.9274"
"2018-06-01 11:00","0.9346"
"2018-06-01 11:15","0.93"
"2018-06-01 11:30","0.9198"
"2018-06-01 11:45","0.914"
"2018-06-01 12:00","0.9219"
"2018-06-01 12:15","0.9078"
"2018-06-01 12:30","0.9365"
"2018-06-01 12:45","0.9133"
"2018-06-01 13:00","0.945"
"2018-06-01 13:15","0.9602"
"2018-06-01 13:30","0.922"
"2018-06-01 13:45","0.9529"
"2018-06-01 14:00","0.9527"
"2018-06-01 14:15","0.9574"
"2018-06-01 14:30","0.9524"
"2018-06-01 14:45","0.9569"
"2018-06-01 15:00","0.9572"
"2018-06-01 15:15","0.9671"
"2018-06-01 15:30","0.9637"
"2018-06-01 15:45","0.9611"
"2018-06-01 16:00","0.9649"
"2018-06-01 16:15","0.0"
"2018-06-01 16:30","0.9588"
"2018-06-01 16:45","0.9574"
"2018-06-01 17:00","0.9534"
"2018-06-01 17:15","0.932"
"2018-06-01 17:30","0.9356"
"2018-06-01 17:45","0.9511"
"2018-06-01 18:00","0.9513"
"2018-06-01 18:15","0.9158"
"2018-06-01 18:30","0.9036"
"2018-06-01 18:45","0.9572"
"2018-06-01 19:00","0.9452"
"2018-06-01 19:15","0.9351"
"2018-06-01 19:30","0.9357"
"2018-06-01 19:45","0.9484"
"2018-06-01 20:00","0.9381"
"2018-06-01 20:15","0.9451"
"2018-06-01 20:30","0.925"
"2018-06-01 20:45","0.9611"
