"Time stamp","Interruptor Principal   ()"
"2019-01-01 00:00","0.8396"
"2019-01-01 00:15","0.8403"
"2019-01-01 00:30","0.8359"
"2019-01-01 00:45","0.8286"
"2019-01-01 01:00","0.8267"
"2019-01-01 01:15","0.823"
"2019-01-01 01:30","0.8305"
"2019-01-01 01:45","0.8366"
"2019-01-01 02:00","0.8377"
"2019-01-01 02:15","0.8161"
"2019-01-01 02:30","0.8312"
"2019-01-01 02:45","0.8415"
"2019-01-01 03:00","0.8626"
"2019-01-01 03:15","0.8889"
"2019-01-01 03:30","0.8586"
"2019-01-01 03:45","0.8193"
"2019-01-01 04:00","0.813"
"2019-01-01 04:15","0.8113"
"2019-01-01 04:30","0.8355"
"2019-01-01 04:45","0.8094"
"2019-01-01 05:00","0.8343"
"2019-01-01 05:15","0.8275"
"2019-01-01 05:30","0.8187"
"2019-01-01 05:45","0.8185"
"2019-01-01 06:00","0.8342"
"2019-01-01 06:15","0.8182"
"2019-01-01 06:30","0.8383"
"2019-01-01 06:45","0.8243"
"2019-01-01 07:00","0.834"
"2019-01-01 07:15","0.8407"
"2019-01-01 07:30","0.8256"
"2019-01-01 07:45","0.8474"
"2019-01-01 08:00","0.8401"
"2019-01-01 08:15","0.8299"
"2019-01-01 08:30","0.8417"
"2019-01-01 08:45","0.8534"
"2019-01-01 09:00","0.8726"
"2019-01-01 09:15","0.9205"
"2019-01-01 09:30","0.9031"
"2019-01-01 09:45","0.8711"
"2019-01-01 10:00","0.8778"
"2019-01-01 10:15","0.8816"
"2019-01-01 10:30","0.8986"
"2019-01-01 10:45","0.9732"
"2019-01-01 11:00","0.9623"
"2019-01-01 11:15","0.963"
"2019-01-01 11:30","0.9573"
"2019-01-01 11:45","0.9591"
"2019-01-01 12:00","0.9558"
"2019-01-01 12:15","0.9565"
"2019-01-01 12:30","0.9865"
"2019-01-01 12:45","0.9521"
"2019-01-01 13:00","0.9402"
"2019-01-01 13:15","0.9387"
"2019-01-01 13:30","0.9313"
"2019-01-01 13:45","0.937"
"2019-01-01 14:00","0.9174"
"2019-01-01 14:15","0.9241"
"2019-01-01 14:30","0.9197"
"2019-01-01 14:45","0.9037"
"2019-01-01 15:00","0.957"
"2019-01-01 15:15","0.9164"
"2019-01-01 15:30","0.9481"
"2019-01-01 15:45","0.9211"
"2019-01-01 16:00","0.9472"
"2019-01-01 16:15","0.9419"
"2019-01-01 16:30","0.9616"
"2019-01-01 16:45","0.9421"
"2019-01-01 17:00","0.9538"
"2019-01-01 17:15","0.9482"
"2019-01-01 17:30","0.9403"
"2019-01-01 17:45","0.9631"
"2019-01-01 18:00","0.9649"
"2019-01-01 18:15","0.9602"
"2019-01-01 18:30","0.9349"
"2019-01-01 18:45","0.9643"
"2019-01-01 19:00","0.9615"
"2019-01-01 19:15","0.9519"
"2019-01-01 19:30","0.9436"
"2019-01-01 19:45","0.972"
"2019-01-01 20:00","0.985"
