"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2018-07-01 00:00","0.0","13.2"
"2018-07-01 00:15","0.0","13.2"
"2018-07-01 00:30","0.0","13.2"
"2018-07-01 00:45","0.0","13.2"
"2018-07-01 01:00","0.0","13.1"
"2018-07-01 01:15","0.0","13.1"
"2018-07-01 01:30","0.0","13.1"
"2018-07-01 01:45","0.0","13.1"
"2018-07-01 02:00","0.0","12.9"
"2018-07-01 02:15","0.0","12.9"
"2018-07-01 02:30","0.0","12.9"
"2018-07-01 02:45","0.0","12.9"
"2018-07-01 03:00","0.0","12.6"
"2018-07-01 03:15","0.0","12.6"
"2018-07-01 03:30","0.0","12.6"
"2018-07-01 03:45","0.0","12.6"
"2018-07-01 04:00","0.0","12.2"
"2018-07-01 04:15","0.0","12.2"
"2018-07-01 04:30","0.0","12.2"
"2018-07-01 04:45","0.0","12.2"
"2018-07-01 05:00","0.0","11.4"
"2018-07-01 05:15","0.0","11.4"
"2018-07-01 05:30","0.0","11.4"
"2018-07-01 05:45","0.0","11.4"
"2018-07-01 06:00","0.0","11.0"
"2018-07-01 06:15","0.0","11.0"
"2018-07-01 06:30","0.0","11.0"
"2018-07-01 06:45","0.0","11.0"
"2018-07-01 07:00","0.0","11.0"
"2018-07-01 07:15","0.0","11.0"
"2018-07-01 07:30","0.0","11.0"
"2018-07-01 07:45","0.0","11.0"
"2018-07-01 08:00","0.0","12.2"
"2018-07-01 08:15","0.0","12.2"
"2018-07-01 08:30","0.0","12.2"
"2018-07-01 08:45","0.6967","12.2"
"2018-07-01 09:00","2.43","15.0"
"2018-07-01 09:15","2.33","15.0"
"2018-07-01 09:30","2.4","15.0"
"2018-07-01 09:45","2.61","15.0"
"2018-07-01 10:00","2.47","17.2"
"2018-07-01 10:15","2.42","17.2"
"2018-07-01 10:30","2.56","17.2"
"2018-07-01 10:45","2.44","17.2"
"2018-07-01 11:00","2.52","27.2"
"2018-07-01 11:15","2.57","27.2"
"2018-07-01 11:30","2.65","27.2"
"2018-07-01 11:45","2.6","27.2"
"2018-07-01 12:00","3.43","28.2"
"2018-07-01 12:15","3.91","28.2"
"2018-07-01 12:30","3.93","28.2"
"2018-07-01 12:45","3.84","28.2"
"2018-07-01 13:00","3.97","28.4"
"2018-07-01 13:15","4.04","28.4"
"2018-07-01 13:30","4.22","28.4"
"2018-07-01 13:45","4.21","28.4"
"2018-07-01 14:00","4.21","28.1"
"2018-07-01 14:15","4.16","28.1"
"2018-07-01 14:30","4.16","28.1"
"2018-07-01 14:45","4.25","28.1"
"2018-07-01 15:00","4.28","27.7"
"2018-07-01 15:15","4.24","27.7"
"2018-07-01 15:30","4.33","27.7"
"2018-07-01 15:45","4.29","27.7"
"2018-07-01 16:00","4.24","28.3"
"2018-07-01 16:15","4.27","28.3"
"2018-07-01 16:30","4.21","28.3"
"2018-07-01 16:45","4.22","28.3"
"2018-07-01 17:00","4.05","24.9"
"2018-07-01 17:15","4.31","24.9"
"2018-07-01 17:30","4.28","24.9"
"2018-07-01 17:45","4.1","24.9"
"2018-07-01 18:00","3.86","22.6"
"2018-07-01 18:15","3.88","22.6"
"2018-07-01 18:30","3.79","22.6"
"2018-07-01 18:45","3.65","22.6"
"2018-07-01 19:00","3.77","19.4"
"2018-07-01 19:15","3.83","19.4"
"2018-07-01 19:30","3.94","19.4"
"2018-07-01 19:45","3.91","19.4"
"2018-07-01 20:00","3.79","17.7"
"2018-07-01 20:15","3.79","17.7"
"2018-07-01 20:30","3.77","17.7"
"2018-07-01 20:45","3.86","17.7"
"2018-07-01 21:00","3.41","17.4"
"2018-07-01 21:15","3.43","17.4"
"2018-07-01 21:30","1.09","17.4"
"2018-07-01 21:45","0.0","17.4"
"2018-07-01 22:00","0.0","16.4"
"2018-07-01 22:15","0.0","16.4"
"2018-07-01 22:30","0.0","16.4"
"2018-07-01 22:45","0.0","16.4"
"2018-07-01 23:00","0.0","15.9"
"2018-07-01 23:15","0.0","15.9"
"2018-07-01 23:30","0.0","15.9"
"2018-07-01 23:45","0.0","15.9"
"2018-07-02 00:00","0.0","15.2"
"2018-07-02 00:15","0.0","15.2"
"2018-07-02 00:30","0.0","15.2"
"2018-07-02 00:45","0.0","15.2"
"2018-07-02 01:00","0.0","14.3"
"2018-07-02 01:15","0.0","14.3"
"2018-07-02 01:30","0.0","14.3"
"2018-07-02 01:45","0.0","14.3"
"2018-07-02 02:00","0.0","13.7"
"2018-07-02 02:15","0.0","13.7"
"2018-07-02 02:30","0.0","13.7"
"2018-07-02 02:45","0.0","13.7"
"2018-07-02 03:00","0.0","13.5"
"2018-07-02 03:15","0.0","13.5"
"2018-07-02 03:30","0.0","13.5"
"2018-07-02 03:45","0.0","13.5"
"2018-07-02 04:00","0.0","12.6"
"2018-07-02 04:15","0.0","12.6"
"2018-07-02 04:30","0.0","12.6"
"2018-07-02 04:45","0.0","12.6"
"2018-07-02 05:00","0.0","12.1"
"2018-07-02 05:15","0.0","12.1"
"2018-07-02 05:30","0.0","12.1"
"2018-07-02 05:45","0.0","12.1"
"2018-07-02 06:00","0.0","11.8"
"2018-07-02 06:15","0.0","11.8"
"2018-07-02 06:30","0.0","11.8"
"2018-07-02 06:45","0.0","11.8"
"2018-07-02 07:00","0.0","11.9"
"2018-07-02 07:15","0.0","11.9"
"2018-07-02 07:30","0.0","11.9"
"2018-07-02 07:45","0.1464","11.9"
"2018-07-02 08:00","2.32","13.5"
"2018-07-02 08:15","2.23","13.5"
"2018-07-02 08:30","2.21","13.5"
"2018-07-02 08:45","2.35","13.5"
"2018-07-02 09:00","2.4","15.7"
"2018-07-02 09:15","2.42","15.7"
"2018-07-02 09:30","2.45","15.7"
"2018-07-02 09:45","2.63","15.7"
"2018-07-02 10:00","2.62","18.3"
"2018-07-02 10:15","2.42","18.3"
"2018-07-02 10:30","2.54","18.3"
"2018-07-02 10:45","2.51","18.3"
"2018-07-02 11:00","2.46","23.3"
"2018-07-02 11:15","2.23","23.3"
"2018-07-02 11:30","2.46","23.3"
"2018-07-02 11:45","2.56","23.3"
"2018-07-02 12:00","2.42","28.2"
"2018-07-02 12:15","2.48","28.2"
"2018-07-02 12:30","3.43","28.2"
"2018-07-02 12:45","4.1","28.2"
"2018-07-02 13:00","4.22","28.6"
"2018-07-02 13:15","4.13","28.6"
"2018-07-02 13:30","4.05","28.6"
"2018-07-02 13:45","4.05","28.6"
"2018-07-02 14:00","4.15","26.8"
"2018-07-02 14:15","4.18","26.8"
"2018-07-02 14:30","4.21","26.8"
"2018-07-02 14:45","4.16","26.8"
"2018-07-02 15:00","3.79","26.7"
"2018-07-02 15:15","4.11","26.7"
"2018-07-02 15:30","3.99","26.7"
"2018-07-02 15:45","4.09","26.7"
"2018-07-02 16:00","4.15","26.8"
"2018-07-02 16:15","4.04","26.8"
"2018-07-02 16:30","4.08","26.8"
"2018-07-02 16:45","4.1","26.8"
"2018-07-02 17:00","4.07","24.4"
"2018-07-02 17:15","4.12","24.4"
"2018-07-02 17:30","4.05","24.4"
"2018-07-02 17:45","3.94","24.4"
"2018-07-02 18:00","3.69","21.9"
"2018-07-02 18:15","3.68","21.9"
"2018-07-02 18:30","3.41","21.9"
"2018-07-02 18:45","3.61","21.9"
"2018-07-02 19:00","3.69","15.8"
"2018-07-02 19:15","3.8","15.8"
"2018-07-02 19:30","3.61","15.8"
"2018-07-02 19:45","3.79","15.8"
"2018-07-02 20:00","3.72","13.5"
"2018-07-02 20:15","3.69","13.5"
"2018-07-02 20:30","3.69","13.5"
"2018-07-02 20:45","3.99","13.5"
"2018-07-02 21:00","3.99","12.9"
"2018-07-02 21:15","1.32","12.9"
"2018-07-02 21:30","0.0","12.9"
"2018-07-02 21:45","0.0","12.9"
"2018-07-02 22:00","0.0","12.9"
"2018-07-02 22:15","0.0","12.9"
"2018-07-02 22:30","0.0","12.9"
"2018-07-02 22:45","0.0","12.9"
"2018-07-02 23:00","0.0","12.9"
"2018-07-02 23:15","0.0","12.9"
"2018-07-02 23:30","0.0","12.9"
"2018-07-02 23:45","0.0","12.9"
"2018-07-03 00:00","0.0","12.8"
"2018-07-03 00:15","0.0","12.8"
"2018-07-03 00:30","0.0","12.8"
"2018-07-03 00:45","0.0","12.8"
"2018-07-03 01:00","0.0","12.7"
"2018-07-03 01:15","0.0","12.7"
"2018-07-03 01:30","0.0","12.7"
"2018-07-03 01:45","0.0","12.7"
"2018-07-03 02:00","0.0","12.8"
"2018-07-03 02:15","0.0","12.8"
"2018-07-03 02:30","0.0","12.8"
"2018-07-03 02:45","0.0","12.8"
"2018-07-03 03:00","0.0","12.4"
"2018-07-03 03:15","0.0","12.4"
"2018-07-03 03:30","0.0","12.4"
"2018-07-03 03:45","0.0","12.4"
"2018-07-03 04:00","0.0","11.9"
"2018-07-03 04:15","0.0","11.9"
"2018-07-03 04:30","0.0","11.9"
"2018-07-03 04:45","0.0","11.9"
"2018-07-03 05:00","0.0","11.7"
"2018-07-03 05:15","0.0","11.7"
"2018-07-03 05:30","0.0","11.7"
"2018-07-03 05:45","0.0","11.7"
"2018-07-03 06:00","0.0","11.4"
"2018-07-03 06:15","0.0","11.4"
"2018-07-03 06:30","0.0","11.4"
"2018-07-03 06:45","0.0","11.4"
"2018-07-03 07:00","0.0","11.4"
"2018-07-03 07:15","0.0","11.4"
"2018-07-03 07:30","0.0","11.4"
"2018-07-03 07:45","0.0","11.4"
"2018-07-03 08:00","0.0","12.9"
"2018-07-03 08:15","0.0","12.9"
"2018-07-03 08:30","0.0","12.9"
