"Time stamp","Interruptor Principal   (V)"
"2019-09-01 00:00","127.37"
"2019-09-01 00:15","127.59"
"2019-09-01 00:30","128.01"
"2019-09-01 00:45","128.16"
"2019-09-01 01:00","128.08"
"2019-09-01 01:15","128.12"
"2019-09-01 01:30","128.17"
"2019-09-01 01:45","127.96"
"2019-09-01 02:00","127.95"
"2019-09-01 02:15","128.28"
"2019-09-01 02:30","128.24"
"2019-09-01 02:45","128.39"
"2019-09-01 03:00","128.52"
"2019-09-01 03:15","128.41"
"2019-09-01 03:30","128.28"
"2019-09-01 03:45","128.17"
"2019-09-01 04:00","128.32"
"2019-09-01 04:15","128.4"
"2019-09-01 04:30","128.51"
"2019-09-01 04:45","128.47"
"2019-09-01 05:00","128.62"
"2019-09-01 05:15","128.51"
"2019-09-01 05:30","128.72"
"2019-09-01 05:45","128.42"
"2019-09-01 06:00","128.45"
"2019-09-01 06:15","128.34"
"2019-09-01 06:30","128.36"
"2019-09-01 06:45","128.4"
"2019-09-01 07:00","128.13"
"2019-09-01 07:15","128.16"
"2019-09-01 07:30","127.98"
"2019-09-01 07:45","127.92"
"2019-09-01 08:00","127.51"
"2019-09-01 08:15","127.52"
"2019-09-01 08:30","127.28"
"2019-09-01 08:45","126.93"
"2019-09-01 09:00","127.23"
"2019-09-01 09:15","127.04"
"2019-09-01 09:30","126.79"
"2019-09-01 09:45","126.83"
"2019-09-01 10:00","126.56"
"2019-09-01 10:15","126.95"
"2019-09-01 10:30","126.48"
"2019-09-01 10:45","126.64"
"2019-09-01 11:00","126.47"
"2019-09-01 11:15","126.59"
"2019-09-01 11:30","126.39"
"2019-09-01 11:45","124.88"
"2019-09-01 12:00","125.25"
"2019-09-01 12:15","125.78"
"2019-09-01 12:30","125.77"
"2019-09-01 12:45","125.61"
"2019-09-01 13:00","125.84"
"2019-09-01 13:15","125.73"
"2019-09-01 13:30","126.11"
"2019-09-01 13:45","126.06"
"2019-09-01 14:00","126.08"
"2019-09-01 14:15","125.16"
"2019-09-01 14:30","125.07"
"2019-09-01 14:45","125.17"
"2019-09-01 15:00","124.89"
"2019-09-01 15:15","124.95"
"2019-09-01 15:30","124.53"
"2019-09-01 15:45","124.82"
"2019-09-01 16:00","124.58"
"2019-09-01 16:15","124.78"
"2019-09-01 16:30","124.22"
"2019-09-01 16:45","124.28"
"2019-09-01 17:00","124.81"
"2019-09-01 17:15","124.49"
"2019-09-01 17:30","124.83"
"2019-09-01 17:45","124.36"
"2019-09-01 18:00","124.89"
"2019-09-01 18:15","125.35"
"2019-09-01 18:30","125.46"
"2019-09-01 18:45","124.92"
"2019-09-01 19:00","125.36"
"2019-09-01 19:15","125.21"
"2019-09-01 19:30","125.46"
"2019-09-01 19:45","125.31"
"2019-09-01 20:00","125.14"
"2019-09-01 20:15","125.47"
"2019-09-01 20:30","126.16"
"2019-09-01 20:45","126.85"
"2019-09-01 21:00","126.92"
"2019-09-01 21:15","127.19"
"2019-09-01 21:30","127.15"
"2019-09-01 21:45","127.38"
"2019-09-01 22:00","128.48"
"2019-09-01 22:15","128.43"
"2019-09-01 22:30","128.22"
"2019-09-01 22:45","128.13"
"2019-09-01 23:00","128.38"
"2019-09-01 23:15","128.61"
"2019-09-01 23:30","128.98"
"2019-09-01 23:45","129.12"
"2019-09-02 00:00","127.04"
"2019-09-02 00:15","127.06"
"2019-09-02 00:30","126.55"
"2019-09-02 00:45","126.63"
"2019-09-02 01:00","126.35"
"2019-09-02 01:15","126.21"
"2019-09-02 01:30","126.2"
"2019-09-02 01:45","126.31"
"2019-09-02 02:00","126.52"
"2019-09-02 02:15","126.48"
"2019-09-02 02:30","126.54"
"2019-09-02 02:45","126.58"
"2019-09-02 03:00","126.81"
"2019-09-02 03:15","126.67"
"2019-09-02 03:30","126.8"
"2019-09-02 03:45","126.73"
"2019-09-02 04:00","126.72"
"2019-09-02 04:15","126.5"
"2019-09-02 04:30","126.78"
"2019-09-02 04:45","127.12"
"2019-09-02 05:00","127.15"
"2019-09-02 05:15","127.18"
"2019-09-02 05:30","126.97"
"2019-09-02 05:45","127.13"
"2019-09-02 06:00","126.63"
"2019-09-02 06:15","126.36"
"2019-09-02 06:30","126.22"
"2019-09-02 06:45","126.22"
"2019-09-02 07:00","125.27"
"2019-09-02 07:15","125.16"
"2019-09-02 07:30","124.89"
"2019-09-02 07:45","125.1"
"2019-09-02 08:00","124.86"
"2019-09-02 08:15","125.24"
"2019-09-02 08:30","125.23"
"2019-09-02 08:45","125.2"
"2019-09-02 09:00","123.88"
"2019-09-02 09:15","123.94"
"2019-09-02 09:30","124.07"
"2019-09-02 09:45","124.11"
"2019-09-02 10:00","123.83"
"2019-09-02 10:15","123.57"
"2019-09-02 10:30","123.34"
"2019-09-02 10:45","123.54"
"2019-09-02 11:00","123.73"
"2019-09-02 11:15","123.53"
"2019-09-02 11:30","124.16"
"2019-09-02 11:45","123.82"
"2019-09-02 12:00","123.83"
"2019-09-02 12:15","123.74"
"2019-09-02 12:30","122.78"
"2019-09-02 12:45","123.2"
"2019-09-02 13:00","123.06"
"2019-09-02 13:15","123.29"
"2019-09-02 13:30","122.86"
"2019-09-02 13:45","122.8"
"2019-09-02 14:00","122.46"
"2019-09-02 14:15","122.36"
"2019-09-02 14:30","121.8"
"2019-09-02 14:45","122.18"
"2019-09-02 15:00","122.22"
"2019-09-02 15:15","122.08"
"2019-09-02 15:30","122.57"
"2019-09-02 15:45","122.3"
"2019-09-02 16:00","122.45"
"2019-09-02 16:15","122.58"
"2019-09-02 16:30","122.87"
"2019-09-02 16:45","123.68"
"2019-09-02 17:00","123.54"
"2019-09-02 17:15","123.64"
"2019-09-02 17:30","124.06"
"2019-09-02 17:45","123.93"
"2019-09-02 18:00","124.51"
"2019-09-02 18:15","124.85"
"2019-09-02 18:30","124.55"
"2019-09-02 18:45","123.81"
"2019-09-02 19:00","124.07"
"2019-09-02 19:15","124.74"
