"Time stamp","Interruptor Principal   (V)"
"2019-11-01 00:00","127.39"
"2019-11-01 00:15","127.64"
"2019-11-01 00:30","127.77"
"2019-11-01 00:45","127.71"
"2019-11-01 01:00","127.35"
"2019-11-01 01:15","127.43"
"2019-11-01 01:30","127.47"
"2019-11-01 01:45","127.58"
"2019-11-01 02:00","127.4"
"2019-11-01 02:15","127.62"
"2019-11-01 02:30","127.57"
"2019-11-01 02:45","127.64"
"2019-11-01 03:00","127.81"
"2019-11-01 03:15","127.78"
"2019-11-01 03:30","127.79"
"2019-11-01 03:45","127.93"
"2019-11-01 04:00","127.7"
"2019-11-01 04:15","127.72"
"2019-11-01 04:30","127.55"
"2019-11-01 04:45","127.36"
"2019-11-01 05:00","127.45"
"2019-11-01 05:15","127.64"
"2019-11-01 05:30","127.62"
"2019-11-01 05:45","127.34"
"2019-11-01 06:00","127.07"
"2019-11-01 06:15","127.02"
"2019-11-01 06:30","126.75"
"2019-11-01 06:45","126.57"
"2019-11-01 07:00","126.08"
"2019-11-01 07:15","125.92"
"2019-11-01 07:30","125.56"
"2019-11-01 07:45","125.54"
"2019-11-01 08:00","125.41"
"2019-11-01 08:15","125.01"
"2019-11-01 08:30","125.09"
"2019-11-01 08:45","125.15"
"2019-11-01 09:00","125.46"
"2019-11-01 09:15","125.7"
"2019-11-01 09:30","125.72"
"2019-11-01 09:45","125.55"
"2019-11-01 10:00","126.03"
"2019-11-01 10:15","125.96"
"2019-11-01 10:30","125.87"
"2019-11-01 10:45","125.64"
"2019-11-01 11:00","125.43"
"2019-11-01 11:15","125.43"
"2019-11-01 11:30","125.48"
"2019-11-01 11:45","125.3"
"2019-11-01 12:00","125.07"
"2019-11-01 12:15","124.02"
"2019-11-01 12:30","123.71"
"2019-11-01 12:45","123.04"
"2019-11-01 13:00","123.59"
"2019-11-01 13:15","123.39"
"2019-11-01 13:30","123.76"
"2019-11-01 13:45","123.32"
"2019-11-01 14:00","123.91"
"2019-11-01 14:15","123.63"
"2019-11-01 14:30","123.43"
"2019-11-01 14:45","123.53"
"2019-11-01 15:00","123.38"
"2019-11-01 15:15","123.51"
"2019-11-01 15:30","123.58"
"2019-11-01 15:45","124.06"
"2019-11-01 16:00","123.36"
"2019-11-01 16:15","123.88"
"2019-11-01 16:30","123.85"
"2019-11-01 16:45","124.71"
"2019-11-01 17:00","125.08"
"2019-11-01 17:15","125.19"
"2019-11-01 17:30","124.27"
"2019-11-01 17:45","124.49"
"2019-11-01 18:00","125.14"
"2019-11-01 18:15","124.6"
"2019-11-01 18:30","124.77"
"2019-11-01 18:45","124.77"
"2019-11-01 19:00","124.7"
"2019-11-01 19:15","124.36"
"2019-11-01 19:30","124.79"
"2019-11-01 19:45","125.23"
"2019-11-01 20:00","125.7"
"2019-11-01 20:15","126.07"
"2019-11-01 20:30","126.68"
"2019-11-01 20:45","127.23"
"2019-11-01 21:00","127.21"
"2019-11-01 21:15","126.86"
"2019-11-01 21:30","126.68"
"2019-11-01 21:45","126.83"
"2019-11-01 22:00","126.95"
"2019-11-01 22:15","126.95"
"2019-11-01 22:30","126.75"
"2019-11-01 22:45","126.75"
"2019-11-01 23:00","127.06"
"2019-11-01 23:15","127.22"
"2019-11-01 23:30","127.62"
"2019-11-01 23:45","127.24"
"2019-11-02 00:00","127.62"
"2019-11-02 00:15","127.65"
"2019-11-02 00:30","127.44"
"2019-11-02 00:45","126.99"
"2019-11-02 01:00","127.01"
"2019-11-02 01:15","126.96"
"2019-11-02 01:30","126.89"
"2019-11-02 01:45","126.99"
"2019-11-02 02:00","126.7"
"2019-11-02 02:15","126.84"
"2019-11-02 02:30","126.87"
"2019-11-02 02:45","127.0"
"2019-11-02 03:00","126.9"
"2019-11-02 03:15","126.98"
"2019-11-02 03:30","127.2"
"2019-11-02 03:45","126.91"
"2019-11-02 04:00","126.89"
"2019-11-02 04:15","126.83"
"2019-11-02 04:30","126.81"
"2019-11-02 04:45","127.0"
"2019-11-02 05:00","126.87"
"2019-11-02 05:15","126.91"
"2019-11-02 05:30","126.96"
"2019-11-02 05:45","126.82"
"2019-11-02 06:00","126.59"
"2019-11-02 06:15","126.61"
"2019-11-02 06:30","126.93"
"2019-11-02 06:45","126.46"
"2019-11-02 07:00","126.13"
"2019-11-02 07:15","126.01"
"2019-11-02 07:30","126.55"
"2019-11-02 07:45","126.47"
"2019-11-02 08:00","126.55"
"2019-11-02 08:15","126.58"
"2019-11-02 08:30","125.99"
"2019-11-02 08:45","125.77"
"2019-11-02 09:00","125.31"
"2019-11-02 09:15","125.36"
"2019-11-02 09:30","125.42"
"2019-11-02 09:45","125.44"
"2019-11-02 10:00","125.39"
"2019-11-02 10:15","124.83"
"2019-11-02 10:30","124.53"
"2019-11-02 10:45","124.49"
"2019-11-02 11:00","124.07"
"2019-11-02 11:15","124.44"
"2019-11-02 11:30","124.44"
"2019-11-02 11:45","124.45"
"2019-11-02 12:00","123.63"
"2019-11-02 12:15","123.8"
"2019-11-02 12:30","124.34"
"2019-11-02 12:45","124.18"
"2019-11-02 13:00","124.76"
"2019-11-02 13:15","124.01"
"2019-11-02 13:30","123.75"
"2019-11-02 13:45","124.26"
"2019-11-02 14:00","124.37"
"2019-11-02 14:15","124.05"
"2019-11-02 14:30","123.73"
"2019-11-02 14:45","123.02"
"2019-11-02 15:00","123.9"
"2019-11-02 15:15","123.74"
"2019-11-02 15:30","123.28"
"2019-11-02 15:45","123.84"
"2019-11-02 16:00","123.65"
"2019-11-02 16:15","124.68"
"2019-11-02 16:30","124.13"
"2019-11-02 16:45","123.83"
"2019-11-02 17:00","123.68"
"2019-11-02 17:15","123.87"
"2019-11-02 17:30","123.69"
"2019-11-02 17:45","123.57"
"2019-11-02 18:00","124.77"
"2019-11-02 18:15","125.11"
"2019-11-02 18:30","124.59"
"2019-11-02 18:45","124.59"
"2019-11-02 19:00","124.55"
"2019-11-02 19:15","125.14"
"2019-11-02 19:30","125.23"
"2019-11-02 19:45","124.97"
"2019-11-02 20:00","124.97"
"2019-11-02 20:15","124.94"
"2019-11-02 20:30","125.29"
"2019-11-02 20:45","126.01"
"2019-11-02 21:00","127.01"
"2019-11-02 21:15","126.91"
"2019-11-02 21:30","126.8"
"2019-11-02 21:45","126.78"
"2019-11-02 22:00","126.81"
"2019-11-02 22:15","126.93"
"2019-11-02 22:30","127.02"
"2019-11-02 22:45","127.04"
"2019-11-02 23:00","127.29"
"2019-11-02 23:15","127.31"
"2019-11-02 23:30","127.08"
"2019-11-02 23:45","127.14"
"2019-11-03 00:00","127.55"
"2019-11-03 00:15","127.71"
"2019-11-03 00:30","127.66"
"2019-11-03 00:45","127.68"
"2019-11-03 01:00","127.73"
"2019-11-03 01:15","127.79"
"2019-11-03 01:30","127.69"
"2019-11-03 01:45","128.02"
"2019-11-03 02:00","127.51"
"2019-11-03 02:15","126.41"
"2019-11-03 02:30","126.38"
"2019-11-03 02:45","126.41"
"2019-11-03 03:00","126.74"
"2019-11-03 03:15","126.63"
"2019-11-03 03:30","126.73"
"2019-11-03 03:45","126.6"
"2019-11-03 04:00","126.56"
"2019-11-03 04:15","126.72"
"2019-11-03 04:30","126.28"
"2019-11-03 04:45","126.45"
"2019-11-03 05:00","126.28"
"2019-11-03 05:15","126.19"
"2019-11-03 05:30","126.09"
"2019-11-03 05:45","126.29"
"2019-11-03 06:00","126.17"
"2019-11-03 06:15","126.01"
"2019-11-03 06:30","126.1"
"2019-11-03 06:45","126.24"
"2019-11-03 07:00","126.24"
"2019-11-03 07:15","126.19"
"2019-11-03 07:30","126.24"
"2019-11-03 07:45","126.17"
